IDENTIFICADOR_EMPRESA,EMPRESA,FECHA,ANIO,TRIMESTRE,HORA,COD_DANE,DEPARTAMENTO,MUNICIPIO,CENTRO_POBLADO,UBICACION,SEXO,EDAD,TIPO_IDENTIFICACION,VINCULADO_EMPRESA,TIPO_VINCULACION,GRADO_ESCOLARIDAD,TIEMPO_VINCULACION,SECCION_EMPRESA,TIPO_LESION,ORIGEN_ACCIDENTE,CAUSA_ACCIDENTE,MEDIDAS
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,2016-04-11 00:00:00,2017,4,20:00:00,44279000,LA GUAJIRA,FONSECA,FONSECA,SECTOR URBANO,F,6,N.N.,N,NO APLICA,BÃSICA PRIMARIA,11111,Mantenimiento - DistribuciÃ³n,Quemaduras,Fallas de aislamiento,Contacto Indirecto,Se corto el tv cable que energizo la retenida secundaria
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,04/30/2014,2014,2,09:26:00,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,1,N.N.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Otra,ViolaciÃ³n de distancias de seguridad,Contacto Indirecto,
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,12/15/2012,2012,4,10:54:00,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,1,N.N.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Otra,ViolaciÃ³n de distancias de seguridad,Arcod ElÃ©ctricos,NO APLICA
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,08/25/2014,2014,3,12:00:00,44430000,LA GUAJIRA,MAICAO,MAICAO,SECTOR URBANO,M,14,OTRO,N,NO APLICA,BACHILLER,11111,Mantenimiento - DistribuciÃ³n,TetanizaciÃ³n,Vientos fuertes,Contacto Directo,El reporte fue entregado a la brigada a las 0940 am y resuelto las 1030 am tan pronto llego la brigada al sitio pidio abrir el circuito para aislar el peligro y corregir dicha falla
564.0,EMPRESAS PÃšBLICAS DE MEDELLIN E.S.P.,2015-12-03 00:00:00,2015,1,18:30:00,5093000,ANTIOQUIA,BETULIA,BETULIA,ZONA RURAL DISPERSA,M,99,N.N.,N,NO APLICA,OTRO,11111,Mantenimiento - DistribuciÃ³n,Muerte,ViolaciÃ³n de distancias de seguridad,Contacto Directo,se repara y se realzan lineas conservando distancias de seguridad
23442.0,COMPAÃ‘IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,2012-06-11 00:00:00,2012,4,16:17:00,19130000,CAUCA,CAJIBIO,CAJIBIO,CENTRO POBLADO,F,44,C.C.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Muerte,Fallas operaciÃ³n sistema de protecciÃ³n,TensiÃ³n Contacto,Se retiran canuelas en el arranque de Betania
2073.0,EMPRESA DE ENERGÃA DE PEREIRA S.A. ESP.,01/23/2017,2017,1,12:30:00,66001000,RISARALDA,PEREIRA,PEREIRA,SECTOR URBANO,M,46,C.C.,N,NO APLICA,BACHILLER,11111,Otro - DistribuciÃ³n,Muerte,ViolaciÃ³n de distancias de seguridad,Contacto Indirecto,ENTREGA DE CARTILLAS DE SEGURIDAD A LOS USUARIOS
600.0,ELECTRIFICADORA DEL META S.A. E.S.P.,11/19/2018,2018,4,08:03:00,50689000,META,SAN MARTIN,SAN MARTIN,SECTOR URBANO,M,1,N.N.,N,NO APLICA,OTRO,11111,,Quemaduras,ViolaciÃ³n de distancias de seguridad,Contacto Directo,CARTILLA DE SEGURIDAD DEL USUARIO
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,11/15/2017,2017,4,13:00:00,76892000,VALLE DEL CAUCA,YUMBO,YUMBO,SECTOR URBANO,M,1,N.N.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Otra,ViolaciÃ³n de distancias de seguridad,Contacto Indirecto,
2371.0,EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,2012-11-02 00:00:00,2012,1,17:30:00,86569003,PUTUMAYO,PUERTO CAICEDO,EL CEDRAL,ZONA RURAL DISPERSA,M,29,C.C.,S,PLANTA,TECNÃ“LOGO,16,Otro - DistribuciÃ³n,Otra,Otra,Otra,39
564.0,EMPRESAS PÃšBLICAS DE MEDELLIN E.S.P.,2012-10-01 00:00:00,2012,1,17:17:00,5088000,ANTIOQUIA,BELLO,BELLO,SECTOR URBANO,M,99,N.N.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Otra,ViolaciÃ³n de distancias de seguridad,Arcod ElÃ©ctricos,Campana por radio y television  uso seguro de la electricidad
564.0,EMPRESAS PÃšBLICAS DE MEDELLIN E.S.P.,2012-10-01 00:00:00,2012,1,17:17:00,5088000,ANTIOQUIA,BELLO,BELLO,SECTOR URBANO,M,99,N.N.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Otra,ViolaciÃ³n de distancias de seguridad,Arcod ElÃ©ctricos,Campana por radio y television  uso seguro de la electricidad
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,2013-01-03 00:00:00,2013,1,19:05:00,80010000,,,,SECTOR URBANO,F,9,T.I.,N,NO APLICA,OTRO,11111,Mantenimiento - DistribuciÃ³n,Otra,Fallas de InstalaciÃ³n,Contacto Directo,Se cambian 2 postes de madera por unos de concreto de mayor capacidad retirando la retenida se adecua tramo de red bt
600.0,ELECTRIFICADORA DEL META S.A. E.S.P.,10/16/2018,2018,4,12:56:00,50001000,META,VILLAVICENCIO,VILLAVICENCIO,SECTOR URBANO,M,1,N.N.,N,NO APLICA,OTRO,11111,,Quemaduras,ViolaciÃ³n de distancias de seguridad,Contacto Directo,CARTILLA DE SEGURIDAD DEL USUARIO
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,2014-03-08 00:00:00,2014,4,12:00:00,70001000,SUCRE,SINCELEJO,SINCELEJO,SECTOR URBANO,M,3,OTRO,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Derivadas,Fallas de aislamiento,Contacto Directo,Se aislo el electrodomestico que hacia energizar el neutro de todo el transformador
1014.0,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,2017-08-12 00:00:00,2017,4,12:00:00,41001000,HUILA,NEIVA,NEIVA,ZONA RURAL DISPERSA,M,58,C.C.,N,NO APLICA,BÃSICA PRIMARIA,11111,Otro - DistribuciÃ³n,Muerte,Apertura interruptores con carga,Contacto Indirecto,Sensibilizacion a la comunidad  frente a peligros de la corriente
2073.0,EMPRESA DE ENERGÃA DE PEREIRA S.A. ESP.,10/16/2013,2013,4,11:00:00,66001000,RISARALDA,PEREIRA,PEREIRA,SECTOR URBANO,M,37,N.N.,N,NO APLICA,OTRO,11111,,ElectrÃ³lisis,ViolaciÃ³n de distancias de seguridad,Contacto Indirecto,DISENO Y ENTREGA CARTILLA DE SEGURIDAD DEL USUARIO
23442.0,COMPAÃ‘IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,06/28/2017,2017,2,10:22:00,19455000,CAUCA,MIRANDA,MIRANDA,ZONA RURAL DISPERSA,M,35,N.N.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Muerte,ViolaciÃ³n de distancias de seguridad,Contacto Indirecto,Siendo las 12 y 12 del medio dia se energiza el circuito Urbano Miranda bajo la incidencia 4637149 quedando abierto arranque hacia el sector del incidente Finalmente a las 4 y 20 pm se concluye la labor y una vez realizada la verificacion del estado de la red en coordinacion con el Centro de Control se restablece el servicio
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,08/28/2016,2016,4,10:50:00,44001000,LA GUAJIRA,RIOHACHA,RIOHACHA,SECTOR URBANO,M,44,C.C.,N,NO APLICA,OTRO,11111,Mantenimiento - DistribuciÃ³n,Otra,Impericia en operaciÃ³n,Contacto Directo,Se reviso el sector y no se encontro ninguna linea en el suelo
2073.0,EMPRESA DE ENERGÃA DE PEREIRA S.A. ESP.,2012-07-09 00:00:00,2012,3,13:22:00,66001000,RISARALDA,PEREIRA,PEREIRA,SECTOR URBANO,M,37,C.C.,N,NO APLICA,BACHILLER,11111,,ElectrÃ³lisis,ViolaciÃ³n de distancias de seguridad,Contacto Indirecto,GUARDAR DISTANCIAS DE SEGURIDAD
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,02/23/2015,2015,1,09:53:00,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,1,N.N.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Quemaduras,ViolaciÃ³n de distancias de seguridad,Contacto Indirecto,
2103.0,CODENSA S.A. ESP,11/29/2015,2015,4,19:10:00,25175000,CUNDINAMARCA,CHIA,CHIA,SECTOR URBANO,M,49,C.C.,N,NO APLICA,BACHILLER,11111,Mantenimiento - DistribuciÃ³n,Quemaduras,Otra,Contacto Directo,Capacitacion y revision de procesos y procedimientos
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,2019-02-05 00:00:00,2019,2,13:36:00,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,1,C.C.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Otra,ViolaciÃ³n de distancias de seguridad,Contacto Indirecto,
2371.0,EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,11/29/2015,2015,4,11:00:00,86569000,PUTUMAYO,PUERTO CAICEDO,PUERTO CAICEDO,SECTOR URBANO,M,33,C.C.,S,PLANTA,TECNÃ“LOGO,9,Mantenimiento - DistribuciÃ³n,Otra,Otra,Otra,9
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,06/18/2014,2014,2,15:53:00,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,1,N.N.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Otra,ViolaciÃ³n de distancias de seguridad,Contacto Indirecto,
564.0,EMPRESAS PÃšBLICAS DE MEDELLIN E.S.P.,08/21/2013,2013,3,09:15:00,5360000,ANTIOQUIA,ITAGUI,ITAGUI,ZONA RURAL DISPERSA,M,28,C.C.,N,NO APLICA,BÃSICA PRIMARIA,11111,Otro - DistribuciÃ³n,Quemaduras,ViolaciÃ³n de distancias de seguridad,Contacto Directo,Educiacion y socializacion frente al cuidado que hay que tener con las redes electricas
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,05/18/2011,2011,2,12:26:00,47189000,MAGDALENA,CIENAGA,CIENAGA,ZONA RURAL DISPERSA,F,53,N.N.,N,NO APLICA,OTRO,11111,Otro - ComercializaciÃ³n,Quemaduras,Fallas de mantenimiento,Contacto Directo,Se realizo cambio de conectores de perforaciÃ¯Â¿Â¿n en los bajantes del transformador que alimenta el sector.  Los trabajos fueron realizados el dÃ¯Â¿Â¿a 17/05/2011 a las 14:45 por la BOL en turno C4-9.
536.0,CELSIA COLOMBIA S.A. E.S.P.,06/23/2013,2013,2,17:20:00,76111000,VALLE DEL CAUCA,GUADALAJARA DE BUGA,GUADALAJARA DE BUGA,SECTOR URBANO,M,24,C.C.,N,NO APLICA,BACHILLER TÃ‰CNICO,11111,Mantenimiento - DistribuciÃ³n,Otra,Fallas de operaciÃ³n,TensiÃ³n de Paso,Instalar sistemas de puesta a tierra
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,2013-12-10 00:00:00,2013,4,12:00:00,47189000,MAGDALENA,CIENAGA,CIENAGA,SECTOR URBANO,F,2,OTRO,N,NO APLICA,OTRO,11111,Mantenimiento - DistribuciÃ³n,Quemaduras,Otra,Contacto Directo,Se retiro una acometida antitecnica con cable sin aislmiento instalada por terceros que energizo la retenida
23442.0,COMPAÃ‘IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,2010-03-09 00:00:00,2010,3,10:30:00,19473000,CAUCA,MORALES,MORALES,ZONA RURAL DISPERSA,M,36,C.C.,S,CONTRATISTA,TÃ‰CNICO,5,Mantenimiento - DistribuciÃ³n,Quemaduras,ViolaciÃ³n de distancias de seguridad,Contacto Indirecto,capacitaciones reentrenamiento implementacion de procedimientos seguros
524.0,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,2016-10-10 00:00:00,2016,4,18:30:00,68001000,SANTANDER,BUCARAMANGA,BUCARAMANGA,ZONA RURAL DISPERSA,M,43,C.C.,S,PLANTA,TECNÃ“LOGO,53,Mantenimiento - DistribuciÃ³n,Conjuntivitis,Otra,Arcod ElÃ©ctricos,socializar leccion aprendida actualizar procedimiento y estandarizar uso de equipo de medicion
564.0,EMPRESAS PÃšBLICAS DE MEDELLIN E.S.P.,06/21/2012,2012,2,11:55:00,5390000,ANTIOQUIA,LA PINTADA,LA PINTADA,SECTOR URBANO,M,41,C.C.,N,NO APLICA,BÃSICA PRIMARIA,11111,Otro - DistribuciÃ³n,Quemaduras,ViolaciÃ³n de distancias de seguridad,Contacto Indirecto,Campana por radio y television  uso seguro de la electricidad
2371.0,EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,07/20/2012,2012,3,17:20:00,86568000,PUTUMAYO,PUERTO ASIS,PUERTO ASIS,ZONA RURAL DISPERSA,M,28,C.C.,S,PLANTA,TECNÃ“LOGO,15,Otro - DistribuciÃ³n,Otra,Otra,Otra,39
564.0,EMPRESAS PÃšBLICAS DE MEDELLIN E.S.P.,2016-10-02 00:00:00,2016,1,11:34:00,5861000,ANTIOQUIA,VENECIA,VENECIA,ZONA RURAL DISPERSA,M,59,C.C.,N,NO APLICA,OTRO,11111,Mantenimiento - DistribuciÃ³n,Quemaduras,ViolaciÃ³n de distancias de seguridad,Contacto Directo,CAMPANA POR RADIO Y TELEVISION  USO SEGURO DE LA ELECTRICIDAD
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,03/30/2012,2012,1,12:16:00,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,41,N.N.,N,NO APLICA,TÃ‰CNICO,11111,Otro - DistribuciÃ³n,Quemaduras,ViolaciÃ³n de distancias de seguridad,Contacto Indirecto,NO REQUIERE
23442.0,COMPAÃ‘IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,2015-05-04 00:00:00,2015,2,14:43:00,19821000,CAUCA,TORIBIO,TORIBIO,ZONA RURAL DISPERSA,M,14,N.N.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Muerte,DesatenciÃ³n de normas tÃ©cnicas,Contacto Directo,Realizar campanas de sensibilizacion de riesgo electrico en instalaciones internas y de red Estas campanas se manejan por medio de mensajes al reverso de cada factura mensual
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,2019-08-08 00:00:00,2019,3,09:41:00,20001000,CESAR,VALLEDUPAR,VALLEDUPAR,CENTRO POBLADO,M,36,C.C.,N,NO APLICA,BÃSICA PRIMARIA,11111,Mantenimiento - DistribuciÃ³n,Quemaduras,Otra,Contacto Indirecto,Se retira tramo de red de baja tension instalada
564.0,EMPRESAS PÃšBLICAS DE MEDELLIN E.S.P.,2012-08-11 00:00:00,2012,4,16:00:00,5895000,ANTIOQUIA,ZARAGOZA,ZARAGOZA,ZONA RURAL DISPERSA,M,11,N.N.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Quemaduras,ViolaciÃ³n de distancias de seguridad,Contacto Directo,Campana por radio y television  uso seguro de la electricidad
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,06/25/2014,2014,2,17:00:00,47707000,MAGDALENA,SANTA ANA,SANTA ANA,SECTOR URBANO,M,60,N.N.,N,NO APLICA,OTRO,11111,Mantenimiento - DistribuciÃ³n,Quemaduras,Fallas de operaciÃ³n,Contacto Indirecto,Desenergizar circuito con el fin de aislar volqueta
637.0,COMPAÃ‘ÃA DE ELECTRICIDAD DE TULUÃ S.A. E.S.P.,2013-01-12 00:00:00,2013,4,14:00:00,76834000,VALLE DEL CAUCA,TULUA,TULUA,SECTOR URBANO,M,25,C.C.,N,NO APLICA,BACHILLER,11111,Mantenimiento - DistribuciÃ³n,Quemaduras,DesatenciÃ³n de normas tÃ©cnicas,Contacto Directo,Jornadas de capacitacion al personal de Planeacion Curaduria y Personeria municipal
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,2017-02-01 00:00:00,2017,2,17:30:00,70820000,SUCRE,SANTIAGO DE TOLU,SANTIAGO DE TOLU,CENTRO POBLADO,M,11,T.I.,N,NO APLICA,BÃSICA PRIMARIA,11111,Mantenimiento - DistribuciÃ³n,Quemaduras,Fallas de InstalaciÃ³n,Contacto Directo,Se procedio a efectuar un mantenimiento correctivo a las redes de baja tension inmediatamente
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,2011-03-11 00:00:00,2011,4,10:30:00,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,35,N.N.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,TetanizaciÃ³n,ViolaciÃ³n de distancias de seguridad,Contacto Indirecto,COORDINAR TRABAJOS DE PERSONAL DE  ETB COM EMCALI
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,05/13/2014,2014,2,11:00:00,44378000,LA GUAJIRA,HATONUEVO,HATONUEVO,ZONA RURAL DISPERSA,M,53,C.C.,N,NO APLICA,OTRO,11111,Mantenimiento - DistribuciÃ³n,TetanizaciÃ³n,Falta conductor puesta a tierra,Contacto Directo,Se aislo la retenida secundaria del sistema de puesta a tierra
2073.0,EMPRESA DE ENERGÃA DE PEREIRA S.A. ESP.,06/17/2013,2013,2,10:00:00,66001000,RISARALDA,PEREIRA,PEREIRA,SECTOR URBANO,M,26,C.C.,N,NO APLICA,PROFESIONAL,11111,,Quemaduras,ViolaciÃ³n de distancias de seguridad,Contacto Indirecto,DISENO Y ENTREGA CARTILLA DE SEGURIDAD DEL USUARIO
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,11/30/2018,2018,4,08:48:00,47555000,MAGDALENA,PLATO,PLATO,SECTOR URBANO,M,55,OTRO,N,NO APLICA,OTRO,11111,Mantenimiento - DistribuciÃ³n,TetanizaciÃ³n,Fallas de aislamiento,Contacto Indirecto,Se retira retenida en mal estado
2438.0,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,2013-01-10 00:00:00,2013,4,09:29:00,76001000,VALLE DEL CAUCA,CALI,SANTIAGO DE CALI,SECTOR URBANO,M,1,C.C.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Quemaduras,Accidentes externos,Contacto Indirecto,
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,2017-05-05 00:00:00,2017,4,18:30:00,47980004,MAGDALENA,ZONA BANANERA,ORIHUECA,CENTRO POBLADO,M,4,OTRO,N,NO APLICA,OTRO,11111,Labores de ComercializaciÃ³n,Muerte,Fallas de aislamiento,Contacto Directo,Se debe realizar mantenimiento a las instalaciones internas electricas del predio
2073.0,EMPRESA DE ENERGÃA DE PEREIRA S.A. ESP.,11/18/2016,2016,4,10:00:00,66001000,RISARALDA,PEREIRA,PEREIRA,SECTOR URBANO,F,24,C.C.,N,NO APLICA,BACHILLER,11111,Otro - DistribuciÃ³n,Otra,ViolaciÃ³n de distancias de seguridad,Contacto Indirecto,ENTREGA DE CARTILLAS DE SEGURIDAD A LOS USUARIOS
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,07/26/2010,2010,3,19:53:00,44560009,LA GUAJIRA,MANAURE,LA GLORIA,ZONA RURAL DISPERSA,M,8,OTRO,N,NO APLICA,BÃSICA PRIMARIA,11111,Mantenimiento - DistribuciÃ³n,TetanizaciÃ³n,Fallas de aislamiento,Contacto Directo,39
600.0,ELECTRIFICADORA DEL META S.A. E.S.P.,2012-10-05 00:00:00,2012,2,08:00:00,50006000,META,ACACIAS,ACACIAS,SECTOR URBANO,M,28,C.C.,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Muerte,ViolaciÃ³n de distancias de seguridad,Contacto Directo,MANUAL DEL CABLEOPERADOR PARA OPERAR LA INFRAESTRUCTURA DE SDL Y STR DE LA EMSA
23442.0,COMPAÃ‘IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,2016-03-12 00:00:00,2016,4,17:00:00,19585000,CAUCA,PURACE,COCONUCO,ZONA RURAL DISPERSA,M,33,C.C.,N,NO APLICA,OTRO,11111,Otro - ComercializaciÃ³n,Muerte,ViolaciÃ³n de Ã¡reas restringidas,Contacto Directo,Cerca al punto donde paso el accidente existe un poste normalizado PA 9089470 a 20 metros aproximadamente el cual una vez se aprobara la energizacion FAER del transformador podria tomar su servicio Estas redes artesanales fueron suspendidas por la brigada punto de conexion 3067980 se resalta que en la inspeccion una de los fusibles en el seccionador se acciono
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,07/24/2012,2012,4,16:48:00,70823000,SUCRE,TOLU VIEJO,TOLU VIEJO,CENTRO POBLADO,F,8,N.N.,N,NO APLICA,PROFESIONAL,11111,Mantenimiento - DistribuciÃ³n,TetanizaciÃ³n,Fallas de InstalaciÃ³n,TensiÃ³n Contacto,Se procedio a retensionar linea mensajera de Edatel
2249.0,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,11/19/2017,2017,4,23:00:00,20001000,CESAR,VALLEDUPAR,VALLEDUPAR,SECTOR URBANO,F,3,OTRO,N,NO APLICA,OTRO,11111,Otro - DistribuciÃ³n,Quemaduras,Otra,Contacto Directo,No aplica El operador de Red no actuo debido a que no encontro en su momento situacion de riesgo
1846.0,EMPRESA DE ENERGIA DEL VALLE DE SIBUNDOY S.A. E.S.P.,2012-02-03 00:00:00,2012,1,08:15:00,86749000,PUTUMAYO,SIBUNDOY,SIBUNDOY,SECTOR URBANO,M,47,C.C.,S,PLANTA,TÃ‰CNICO,168,OperaciÃ³n - DistribuciÃ³n,Otra,Otra,Otra,correctivas
1014.0,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,04/17/2013,2013,2,14:30:00,41551000,HUILA,PITALITO,PITALITO,SECTOR URBANO,M,25,C.C.,N,NO APLICA,BÃSICA PRIMARIA,11111,Otro - DistribuciÃ³n,Muerte,ViolaciÃ³n de distancias de seguridad,Contacto Directo,sensibilizacion a la comunidad  frente a los peligros de la corriente
